type,zone,participant,symbol
fwd,,cne,CSG_LT_ISONE_CONNEC_FP
fwd,,cne,CSG_LT_ISONE_MAINE_IXDA
fwd,,cne,CSG_LT_ISONE_CONNEC_IXRT
fwd,,cne,CSG_LT_ISONE_NEWHAM_IXDA
fwd,,cne,CSG_LT_ISONE_RHODEI_IXDA
fwd,,cne,CSG_LT_ISONE_NEMASS_FP
fwd,,cne,CSG_LT_ISONE_SEMASS_IXDA
fwd,,cne,CSG_LT_ISONE_WCMASS_IXRT
fwd,,cne,CSG_LT_ISONE_NEWHAM_FP
fwd,,cne,CSG_LT_ISONE_NEMASS_IXRT
fwd,,cne,CSG_LT_ISONE_MAINE_FP
fwd,,cne,CSG_LT_ISONE_WCMASS_IXDA
fwd,,cne,CSG_LT_ISONE_SEMASS_IXRT
fwd,,cne,CSG_LT_ISONE_MAINE_IXRT
fwd,,cne,CSG_LT_ISONE_SEMASS_FP
fwd,,cne,CSG_LT_ISONE_NEMASS_IXDA
fwd,,cne,CSG_LT_ISONE_RHODEI_IXHR
fwd,,cne,CSG_LT_ISONE_WCMASS_FP
fwd,,cne,CSG_LT_ISONE_RHODEI_FP
fwd,,cne,CSG_LT_ISONE_CONNEC_IXDA
fwd,,pool,NEPOOL_FCST_ME_DEMAND
fwd,,pool,NEPOOL_FCST_VT_DEMAND
fwd,,pool,NEPOOL_FCST_NH_DEMAND
fwd,,pool,NEPOOL_FCST_WCMA_DEMAND
fwd,,pool,NEPOOL_FCST_CT_DEMAND
fwd,,pool,NEPOOL_FCST_NEMA_DEMAND
fwd,,pool,NEPOOL_FCST_RI_DEMAND
fwd,,pool,NEPOOL_FCST_SEMA_DEMAND
