SecDbCurve,COMMOD,Type,Parent1,Parent2,Parent3
COMMOD NG EXCHANGE,NG,COMMOD REF,,,
COMMOD NG NORRM PHYSICAL,NG,REG REF,COMMOD NG EXCHANGE,,
COMMOD NG NOVNIT PHYSICAL,NG,REG REF,COMMOD NG EXCHANGE,,
COMMOD NG PEPL PHYSICAL,NG,REG REF,COMMOD NG EXCHANGE,,
COMMOD NG NORCAN PHYSICAL,NG,REG REF,COMMOD NG EXCHANGE,,
COMMOD NG TRAZN6 NY PHYSICAL,NG,REG REF,COMMOD NG EXCHANGE,,
COMMOD NG TENZN6 PHYSICAL,NG,REG REF,COMMOD NG EXCHANGE,,
COMMOD NG TRAZN5 PHYSICAL,NG,REG REF,COMMOD NG EXCHANGE,,
COMMOD NG WAHA PHYSICAL,NG,REG REF,COMMOD NG EXCHANGE,,
COMMOD NG SOBCAL PHYSICAL,NG,REG REF,COMMOD NG EXCHANGE,,
COMMOD NG TETSTX PHYSICAL,NG,REG REF,COMMOD NG EXCHANGE,,
COMMOD NG TETETX PHYSICAL,NG,REG REF,COMMOD NG EXCHANGE,,
COMMOD NG CHICAGO PHYSICAL,NG,REG REF,COMMOD NG EXCHANGE,,
COMMOD NG HSCBEA PHYSICAL,NG,REG REF,COMMOD NG EXCHANGE,,
COMMOD NG DOMSP PHYSICAL,NG,REG REF,COMMOD NG EXCHANGE,,
COMMOD NG TRAS85 PHYSICAL,NG,REG REF,COMMOD NG EXCHANGE,,
COMMOD NG DAWN PHYSICAL,NG,REG REF,COMMOD NG EXCHANGE,,
COMMOD NG SABHUB PHYSICAL,NG,REG REF,COMMOD NG EXCHANGE,,

COMMOD COL EXCHANGE,COL,COMMOD REF,,,

COMMOD FCO API2 INDEX,FCO,COMMOD REF,,,

COMMOD WTI EXCHANGE,WTI,COMMOD REF,,,

COMMOD PWY PEAK,PWY,COMMOD REF,COMMOD NG TRAZN6 NY PHYSICAL,COMMOD COL EXCHANGE,COMMOD FCO API2 INDEX
COMMOD PWY OFFPEAK,PWY,COMMOD REF,COMMOD NG TRAZN6 NY PHYSICAL,COMMOD COL EXCHANGE,COMMOD FCO API2 INDEX

COMMOD PWJ PEAK,PWJ,COMMOD REF,COMMOD NG DOMSP PHYSICAL,COMMOD COL EXCHANGE,COMMOD FCO API2 INDEX
COMMOD PWJ OFFPEAK,PWJ,COMMOD REF,COMMOD NG DOMSP PHYSICAL,COMMOD COL EXCHANGE,COMMOD FCO API2 INDEX

COMMOD PWP PEAK,PWP,COMMOD REF,COMMOD NG SOBCAL PHYSICAL,COMMOD COL EXCHANGE,COMMOD FCO API2 INDEX
COMMOD PWP OFFPEAK,PWP,COMMOD REF,COMMOD NG SOBCAL PHYSICAL,COMMOD COL EXCHANGE,COMMOD FCO API2 INDEX

COMMOD PWX PEAK,PWX,COMMOD REF,COMMOD NG TENZN6 PHYSICAL,COMMOD COL EXCHANGE,COMMOD FCO API2 INDEX
COMMOD PWX OFFPEAK,PWX,COMMOD REF,COMMOD NG TENZN6 PHYSICAL,COMMOD COL EXCHANGE,COMMOD FCO API2 INDEX
