NAME,COMMODITY_GRP,STRESS_VALUE,FILTER,FILTER_VALUE
Dn1s,INTERNATIONAL COAL,-2.14,,
Dn1s,DOMESTIC COAL,-2.14,,
Dn1s,GAS,-0.1,,
Dn1s,POWER,-0.57,,
Dn2s,INTERNATIONAL COAL,-4.28,,
Dn2s,DOMESTIC COAL,-4.28,,
Dn2s,GAS,-0.2,,
Dn2s,POWER,-1.14,,
Dn4s,INTERNATIONAL COAL,-8.56,,
Dn4s,DOMESTIC COAL,-8.56,,
Dn4s,GAS,-0.4,,
Dn4s,POWER,-2.28,,
Dn8s,INTERNATIONAL COAL,-17.12,,
Dn8s,DOMESTIC COAL,-17.12,,
Dn8s,GAS,-0.8,,
Dn8s,POWER,-4.56,,
Epsilon,INTERNATIONAL COAL,0.01,,
Epsilon,DOMESTIC COAL,0.01,,
Epsilon,GAS,0.001,,
Epsilon,POWER,0.01,,
Trd09ColDn10,INTERNATIONAL COAL,-10,CONTRACTYEAR,2009
Trd09ColDn10,DOMESTIC COAL,-10,CONTRACTYEAR,2009
Trd09ColDn2,INTERNATIONAL COAL,-2,CONTRACTYEAR,2009
Trd09ColDn2,DOMESTIC COAL,-2,CONTRACTYEAR,2009
Trd09ColDn5,INTERNATIONAL COAL,-5,CONTRACTYEAR,2009
Trd09ColDn5,DOMESTIC COAL,-5,CONTRACTYEAR,2009
Trd09ColUp10,INTERNATIONAL COAL,10,CONTRACTYEAR,2009
Trd09ColUp10,DOMESTIC COAL,10,CONTRACTYEAR,2009
Trd09ColUp2,INTERNATIONAL COAL,2,CONTRACTYEAR,2009
Trd09ColUp2,DOMESTIC COAL,2,CONTRACTYEAR,2009
Trd09ColUp5,INTERNATIONAL COAL,5,CONTRACTYEAR,2009
Trd09ColUp5,DOMESTIC COAL,5,CONTRACTYEAR,2009
Trd09GasDn20,GAS,-0.2,CONTRACTYEAR,2009
Trd09GasDn50,GAS,-0.5,CONTRACTYEAR,2009
Trd09GasDn80,GAS,-0.8,CONTRACTYEAR,2009
Trd09GasUp20,GAS,0.2,CONTRACTYEAR,2009
Trd09GasUp50,GAS,0.5,CONTRACTYEAR,2009
Trd09GasUp80,GAS,0.8,CONTRACTYEAR,2009
Trd09PwrDn1,POWER,-1,CONTRACTYEAR,2009
Trd09PwrDn3,POWER,-3,CONTRACTYEAR,2009
Trd09PwrDn5,POWER,-5,CONTRACTYEAR,2009
Trd09PwrUp1,POWER,1,CONTRACTYEAR,2009
Trd09PwrUp3,POWER,3,CONTRACTYEAR,2009
Trd09PwrUp5,POWER,5,CONTRACTYEAR,2009
TrdColDn10,INTERNATIONAL COAL,-10,,
TrdColDn10,DOMESTIC COAL,-10,,
TrdColDn2,INTERNATIONAL COAL,-2,,
TrdColDn2,DOMESTIC COAL,-2,,
TrdColDn5,INTERNATIONAL COAL,-5,,
TrdColDn5,DOMESTIC COAL,-5,,
TrdColUp10,INTERNATIONAL COAL,10,,
TrdColUp10,DOMESTIC COAL,10,,
TrdColUp2,INTERNATIONAL COAL,2,,
TrdColUp2,DOMESTIC COAL,2,,
TrdColUp5,INTERNATIONAL COAL,5,,
TrdColUp5,DOMESTIC COAL,5,,
TrdGasDn20,GAS,-0.2,,
TrdGasDn50,GAS,-0.5,,
TrdGasDn80,GAS,-0.8,,
TrdGasUp20,GAS,0.2,,
TrdGasUp50,GAS,0.5,,
TrdGasUp80,GAS,0.8,,
TrdPwrDn1,POWER,-1,,
TrdPwrDn3,POWER,-3,,
TrdPwrDn5,POWER,-5,,
TrdPwrUp1,POWER,1,,
TrdPwrUp3,POWER,3,,
TrdPwrUp5,POWER,5,,
Up1s,INTERNATIONAL COAL,2.14,,
Up1s,DOMESTIC COAL,2.14,,
Up1s,GAS,0.1,,
Up1s,POWER,0.57,,
Up2s,INTERNATIONAL COAL,4.28,,
Up2s,DOMESTIC COAL,4.28,,
Up2s,GAS,0.2,,
Up2s,POWER,1.14,,
Up4s,INTERNATIONAL COAL,8.56,,
Up4s,DOMESTIC COAL,8.56,,
Up4s,GAS,0.4,,
Up4s,POWER,2.28,,
Up8s,INTERNATIONAL COAL,17.12,,
Up8s,DOMESTIC COAL,17.12,,
Up8s,GAS,0.8,,
Up8s,POWER,4.56,,
